CompanyName,Sector,Stage,Fund_Amount,HeadQuarter,What_it_does,Funding_Year,Founders,Investor,Founded
SBI Life,FinTech,Private Equity,742000000.0,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018,,,
Studds Accessories,FinTech,Private Equity,14600000.0,Faridabad,Studds Accessories is a scooter accessories service provider in India,2018,,,
Design Cafe,FinTech,Series B,29200000.0,Bengaluru,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018,,,
NoPaperForms Solutions Pvt. Ltd.,FinTech,Series B,3980000.0,New Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018,,,
Rays Power Infra,FinTech,Venture - Series Unknown,29200000.0,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,2018,,,
AuthMetrik,FinTech,Grant,10000.0,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018,,,
Khidki,FinTech,Seed,3000000.0,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions,2018,,,
LetsTransport,FinTech,Series B,14600000.0,Bangalore,Lets transport is a logistics solution provider.,2018,,,
Next Digital Solutions,FinTech,Angel,1460.0,Kota,Next Digital Solutions is website design & Digital Marketing development company.,2018,,,
Portea Medical,FinTech,Debt Financing,3650000.0,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018,,,
Aavas Financiers,FinTech,Post-IPO Debt,29200000.0,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018,,,
Swiggy,FinTech,Series H,1000000000.0,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018,,,
Milkbasket,FinTech,Series A,7000000.0,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018,,,
Nutrisattva (Proliva),FinTech,Angel,3000000.0,Anand,Nutrisattva is a protein innovation compan,2018,,,
Toppr,FinTech,Series C,35000000.0,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,2018,,,
Jagaran Microfin,FinTech,Debt Financing,8030000.0,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018,,,
Vivriti Capital,FinTech,Venture - Series Unknown,28500000.0,Chennai,Vivriti Capital is an online platform for institutional debt in India.,2018,,,
Be U Salons,FinTech,Seed,438000.0,New Delhi,Be U is India's first subscription based Salon Chain.,2018,,,
Impact Guru,FinTech,Series A,2000000.0,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018,,,
MobiKwik,FinTech,Series E,3504000.0,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018,,,
Stones2Milestones,FinTech,Seed,3000000.0,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.,2018,,,
Generico,FinTech,Series A,3000000.0,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018,,,
Adiuvo Diagnostics,FinTech,Seed,3000000.0,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018,,,
DataTrained,FinTech,Seed,1752000.0,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018,,,
OneAssist,FinTech,Debt Financing,2400000.0,Mumbai,OneAssist is a protection & assistance services platform.,2018,,,
Satin Creditcare Network Limited (SCNL),FinTech,Post-IPO Debt,30000000.0,New Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018,,,
APAC Financial Services,FinTech,Private Equity,36500000.0,Mumbai,APAC Financial Services is a financial services platform.,2018,,,
Moglix,FinTech,Series C,23000000.0,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018,,,
SEDEMAC Mechatronics,FinTech,Venture - Series Unknown,3000000.0,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018,,,
MadGuy Labs,FinTech,Venture - Series Unknown,150000.0,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,2018,,,
Dee Dee Labs,FinTech,Seed,3000000.0,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018,,,
FLEECA,FinTech,Seed,3000000.0,Jaipur,FLEECA is a Tyre Care Provider company.,2018,,,
Shop101,FinTech,Series B,11000000.0,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018,,,
FeedMyPockets,FinTech,Seed,642400.0,Bangalore City,On Demand Staffing Platform,2018,,,
Housejoy,FinTech,Series B,3240000.0,Bengaluru,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018,,,
Ambee,FinTech,Angel,3000000.0,Bangalore,Ambee is an Environment analytics startup.,2018,,,
